ตำบล,อำเภอ,จังหวัด,สายรถ
บางกรวย,บางกรวย,นนทบุรี,B
บางขนุน,บางกรวย,นนทบุรี,B
บางขุนกอง,บางกรวย,นนทบุรี,B
บางคูเวียง,บางกรวย,นนทบุรี,B
บางสีทอง,บางกรวย,นนทบุรี,B
ปลายบาง,บางกรวย,นนทบุรี,B
มหาสวัสดิ์,บางกรวย,นนทบุรี,B
วัดชลอ,บางกรวย,นนทบุรี,B
ศาลากลาง,บางกรวย,นนทบุรี,B
บางคูรัด,บางบัวทอง,นนทบุรี,B
บางบัวทอง,บางบัวทอง,นนทบุรี,B
บางรักพัฒนา,บางบัวทอง,นนทบุรี,B
บางรักใหญ่,บางบัวทอง,นนทบุรี,B
พิมลราช,บางบัวทอง,นนทบุรี,B
ละหาร,บางบัวทอง,นนทบุรี,B
ลำโพ,บางบัวทอง,นนทบุรี,B
โสนลอย,บางบัวทอง,นนทบุรี,B
บางม่วง,บางใหญ่,นนทบุรี,B
บางเลน,บางใหญ่,นนทบุรี,B
บางแม่นาง,บางใหญ่,นนทบุรี,B
บางใหญ่,บางใหญ่,นนทบุรี,B
บ้านใหม่,บางใหญ่,นนทบุรี,B
เสาธงหิน,บางใหญ่,นนทบุรี,B
คลองข่อย,ปากเกร็ด,นนทบุรี,B
คลองพระอุดม,ปากเกร็ด,นนทบุรี,B
คลองเกลือ,ปากเกร็ด,นนทบุรี,B
ท่าอิฐ,ปากเกร็ด,นนทบุรี,B
บางตลาด,ปากเกร็ด,นนทบุรี,B
บางตะไนย์,ปากเกร็ด,นนทบุรี,B
บางพลับ,ปากเกร็ด,นนทบุรี,B
บางพูด,ปากเกร็ด,นนทบุรี,B
บ้านใหม่,ปากเกร็ด,นนทบุรี,B
ปากเกร็ด,ปากเกร็ด,นนทบุรี,B
อ้อมเกร็ด,ปากเกร็ด,นนทบุรี,B
เกาะเกร็ด,ปากเกร็ด,นนทบุรี,B
ตลาดขวัญ,เมืองนนทบุรี,นนทบุรี,B
ท่าทราย,เมืองนนทบุรี,นนทบุรี,B
บางกระสอ,เมืองนนทบุรี,นนทบุรี,B
บางกร่าง,เมืองนนทบุรี,นนทบุรี,B
บางรักน้อย,เมืองนนทบุรี,นนทบุรี,B
บางศรีเมือง,เมืองนนทบุรี,นนทบุรี,B
บางเขน,เมืองนนทบุรี,นนทบุรี,B
บางไผ่,เมืองนนทบุรี,นนทบุรี,B
สวนใหญ่,เมืองนนทบุรี,นนทบุรี,B
ไทรม้า,เมืองนนทบุรี,นนทบุรี,B
ขุนศรี,ไทรน้อย,นนทบุรี,B
คลองขวาง,ไทรน้อย,นนทบุรี,B
ทวีวัฒนา,ไทรน้อย,นนทบุรี,B
ราษฎร์นิยม,ไทรน้อย,นนทบุรี,B
หนองเพรางาย,ไทรน้อย,นนทบุรี,B
ไทรน้อย,ไทรน้อย,นนทบุรี,B
ไทรใหญ่,ไทรน้อย,นนทบุรี,B
บางกะดี,เมืองปทุมธานี,ปทุมธานี,B
บางขะแยง,เมืองปทุมธานี,ปทุมธานี,B
บางคูวัด,เมืองปทุมธานี,ปทุมธานี,B
บางปรอก,เมืองปทุมธานี,ปทุมธานี,B
บางพูด,เมืองปทุมธานี,ปทุมธานี,B
บางพูน,เมืองปทุมธานี,ปทุมธานี,C
บางหลวง,เมืองปทุมธานี,ปทุมธานี,B
บางเดื่อ,เมืองปทุมธานี,ปทุมธานี,B
บ้านกระแชง,เมืองปทุมธานี,ปทุมธานี,B
บ้านกลาง,เมืองปทุมธานี,ปทุมธานี,C
บ้านฉาง,เมืองปทุมธานี,ปทุมธานี,B
บ้านใหม่,เมืองปทุมธานี,ปทุมธานี,B
สวนพริกไทย,เมืองปทุมธานี,ปทุมธานี,C
หลักหก,เมืองปทุมธานี,ปทุมธานี,D
กระแชง,สามโคก,ปทุมธานี,B
คลองควาย,สามโคก,ปทุมธานี,B
ท้ายเกาะ,สามโคก,ปทุมธานี,B
บางกระบือ,สามโคก,ปทุมธานี,B
บางเตย,สามโคก,ปทุมธานี,B
บางโพธิ์เหนือ,สามโคก,ปทุมธานี,B
บ้านงิ้ว,สามโคก,ปทุมธานี,B
บ้านปทุม,สามโคก,ปทุมธานี,B
สามโคก,สามโคก,ปทุมธานี,B
เชียงรากน้อย,สามโคก,ปทุมธานี,B
เชียงรากใหญ่,สามโคก,ปทุมธานี,B
คลองพระอุดม,ลาดหลุมแก้ว,ปทุมธานี,B
คูขวาง,ลาดหลุมแก้ว,ปทุมธานี,B
คูบางหลวง,ลาดหลุมแก้ว,ปทุมธานี,B
บ่อเงิน,ลาดหลุมแก้ว,ปทุมธานี,B
ระแหง,ลาดหลุมแก้ว,ปทุมธานี,B
ลาดหลุมแก้ว,ลาดหลุมแก้ว,ปทุมธานี,B
หน้าไม้,ลาดหลุมแก้ว,ปทุมธานี,B
คลองหนึ่ง,คลองหลวง,ปทุมธานี,C
คลองสอง,คลองหลวง,ปทุมธานี,C
คลองสาม,คลองหลวง,ปทุมธานี,C
คลองสี่,คลองหลวง,ปทุมธานี,C
คลองห้า,คลองหลวง,ปทุมธานี,C
คลองหก,คลองหลวง,ปทุมธานี,C
คลองเจ็ด,คลองหลวง,ปทุมธานี,C
รังสิต,ธัญบุรี,ปทุมธานี,C
ประชาธิปัตย์,ธัญบุรี,ปทุมธานี,C
บึงยี่โถ,ธัญบุรี,ปทุมธานี,C
บึงน้ำรักษ์,ธัญบุรี,ปทุมธานี,C
บึงสนั่น,ธัญบุรี,ปทุมธานี,C
ลำผักกูด,ธัญบุรี,ปทุมธานี,C
นพรัตน์,หนองเสือ,ปทุมธานี,C
บึงกาสาม,หนองเสือ,ปทุมธานี,C
บึงชำอ้อ,หนองเสือ,ปทุมธานี,C
บึงบอน,หนองเสือ,ปทุมธานี,C
บึงบา,หนองเสือ,ปทุมธานี,C
ศาลาครุ,หนองเสือ,ปทุมธานี,C
หนองสามวัง,หนองเสือ,ปทุมธานี,C
คูคต,ลำลูกกา,ปทุมธานี,C
บึงคอไห,ลำลูกกา,ปทุมธานี,C
บึงคำพร้อย,ลำลูกกา,ปทุมธานี,C
บึงทองหลาง,ลำลูกกา,ปทุมธานี,C
พืชอุดม,ลำลูกกา,ปทุมธานี,C
ลาดสวาย,ลำลูกกา,ปทุมธานี,C
ลำลูกกา,ลำลูกกา,ปทุมธานี,C
ลำไทรเทศบาล,ลำลูกกา,ปทุมธานี,C
ลำสามแก้ว,ลำลูกกา,ปทุมธานี,C
